date,amount,category,type,description
2026-05-01,150000,Salary,Income,Monthly Primary Salary Credit
2026-05-02,5200,Groceries,Expense,Organic pantry shopping
2026-05-03,1250,Utilities,Expense,Mobile and Broadband Bill
2026-05-05,2500,Dining,Expense,Sushi dinner with family
2026-05-06,12000,Rent,Expense,Monthly Apartment Rent
2026-05-08,1800,Shopping,Expense,Books and stationeries
2026-05-10,30000,Freelance,Income,Consulting gig payment
2026-05-12,2300,Travel,Expense,Cab rides for commute
2026-05-13,649,Subscription,Expense,Streaming platform subscription
2026-05-14,3500,Dining,Expense,Team luncheon event
2026-05-16,4200,Groceries,Expense,Mid-month kitchen restock
2026-05-18,2900,Shopping,Expense,Gifts for birthday party
2026-05-20,1100,Utilities,Expense,Gas pipeline service charge
2026-05-22,15000,Investment,Investment,Mutual Fund Equity SIP
2026-05-24,3100,Travel,Expense,Fuel tank top-up
2026-05-26,5000,Transfer,Transfer,Fund sweep to secondary account
2026-05-28,1200,Dining,Expense,Quick coffee and snacks
